weekKey,processedAt,runId
Week November 10 2025,2025-11-12 06:08:49 CST,1
Week November 14 2025,2025-11-12 06:08:49 CST,1
Week November 3 2025,2025-11-12 06:08:49 CST,1
Week October 27 2025,2025-11-12 06:08:49 CST,1
